"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate"
"Business Model Type","business_model_type","string","","lead_information","true","","false","false","false","false","false","false","OpsEdge Admin","","47.06%"
"Business Model Type Reason","business_model_type_reason","string","","lead_information","true","","false","false","false","false","false","false","OpsEdge Admin","","47.06%"
"Call made","call_made","enumeration","","lead_information","true","Yes; No","false","false","false","false","false","false","OpsEdge Admin","","0%"
"Campaign Channel","campaign_channel","string","","lead_information","true","","false","false","false","false","false","false","OpsEdge Admin","","41.18%"
"Campaign Name","campaign_name","string","","lead_information","true","","false","false","false","false","false","false","OpsEdge Admin","","41.18%"
"Campaign Status","campaign_status","string","","lead_information","true","","false","false","false","false","false","false","OpsEdge Admin","","41.18%"
"Certifications","certifications","string","","lead_information","true","","false","false","false","false","false","false","OpsEdge Admin","","64.71%"
"Company Domain","company_domain","string","","lead_information","false","","false","false","false","false","false","false","OpsEdge Admin","","88.24%"
"Company Name","company_name","string","","lead_information","true","","false","false","false","false","false","false","OpsEdge Admin","","100%"
"CRM Used","crm_used","string","","lead_information","true","","false","false","false","false","false","false","OpsEdge Admin","","0%"
"Education Details","education_details","string","","lead_information","true","","false","false","false","false","false","false","OpsEdge Admin","","100%"
"Email Campaign Body","email_campaign_body","string","","lead_information","true","","false","false","false","false","false","false","OpsEdge Admin","Automation platform flow (1)","41.18%"
"Email Campaign Response","email_campaign_response","string","","lead_information","true","","false","false","false","false","false","false","OpsEdge Admin","","5.88%"
"Email Campaign Subject","email_campaign_subject","string","","lead_information","true","","false","false","false","false","false","false","OpsEdge Admin","","41.18%"
"Generated Email","generated_email","string","","lead_information","true","","false","false","false","false","false","false","OpsEdge Admin","","5.88%"
"Headline","headline","string","","lead_information","true","","false","false","false","false","false","false","OpsEdge Admin","","100%"
"Brands","hs_all_assigned_business_unit_ids","enumeration","The brands this record is assigned to.","lead_information","false","","false","true","false","true","false","true","HubSpot","","0%"
"Company","hs_associated_company_name","string","Name of the associated company if present.","lead_information","false","","true","false","false","false","false","true","HubSpot","","100%"
"Is Target Account","hs_company_is_target_account","string","Associated company's status about being marketed or sold to.","lead_information","false","","true","true","true","false","false","true","HubSpot","","0%"
"Company Last Engagement Date","hs_company_last_engagement_timestamp","datetime","The last time a contact engaged with your site or a form, document, meetings link, or tracked email. This doesn't include marketing emails or emails to multiple contacts.","lead_information","false","","true","true","true","false","false","true","HubSpot","","0%"
"Company Last Engagement Type","hs_company_last_engagement_type","enumeration","The type of the last engagement a company performed. This doesn't include marketing emails or emails to multiple contacts.","lead_information","false","Company Website Visit (COMPANYPROSPECTS_REVISIT); Document View (PRESENTATION_REVISIT); Email Click (EMAIL_CLICK); Email Open (EMAIL_OPEN); Email Reply (EMAIL_REPLY); Form Submitted (FORM_SUBMITTED); Meeting Booked (MEETING_BOOKED); Website Visit (HUBSPOT_REVISIT)","true","true","true","false","false","true","HubSpot","","0%"
"Company Time of Last Session","hs_company_last_webpage_visit_timestamp","datetime","Time of the last session attributed to any contacts that are associated with this lead's primary company","lead_information","false","","true","true","true","false","false","true","HubSpot","","0%"
"Company Next Activity Date","hs_company_next_activity_date","datetime","The date of the next activity, rolled up from the primary associated company.","lead_information","false","","true","true","false","false","false","true","HubSpot","","0%"
"Company Next Activity Type","hs_company_next_activity_type","enumeration","The type of the next activity, rolled up from the primary associated company.","lead_information","false","Call (CALL); Conversation session (CONVERSATION_SESSION); Email reply from contact (INCOMING_EMAIL); Email sent to contact (EMAIL); Forwarded email (FORWARDED_EMAIL); LinkedIn message (LINKEDIN_MESSAGE); Meeting (MEETING); Note (NOTE); Postal mail (POSTAL_MAIL); Publishing task (PUBLISHING_TASK); SMS; Task (TASK); WhatsApp (WHATS_APP)","true","true","true","false","false","true","HubSpot","","0%"
"Company Number of Pageviews","hs_company_num_webpage_views","number","Total number of page views across all contacts associated with this lead's primary company","lead_information","false","","true","true","true","false","false","true","HubSpot","","0%"
"Associated company timezone","hs_company_timezone","string","The associated company's timezone, if present.","lead_information","false","","true","true","false","false","false","true","HubSpot","","0%"
"Contact Buying Role","hs_contact_buying_role","string","Associated contact's role during the sales process.","lead_information","false","","true","true","true","false","false","true","HubSpot","","0%"
"Associated contact job title","hs_contact_job_title","string","Job title of the associated contact if present.","lead_information","false","","true","false","false","false","false","true","HubSpot","","0%"
"Contact Last Engagement Date","hs_contact_last_engagement_timestamp","datetime","The last time a contact engaged with your site or a form, document, meetings link, or tracked email. This doesn't include marketing emails or emails to multiple contacts.","lead_information","false","","true","true","true","false","false","true","HubSpot","","0%"
"Contact Last Engagement Type","hs_contact_last_engagement_type","enumeration","The type of the last engagement a contact performed. This doesn't include marketing emails or emails to multiple contacts.","lead_information","false","Company Website Visit (COMPANYPROSPECTS_REVISIT); Document View (PRESENTATION_REVISIT); Email Click (EMAIL_CLICK); Email Open (EMAIL_OPEN); Email Reply (EMAIL_REPLY); Form Submitted (FORM_SUBMITTED); Meeting Booked (MEETING_BOOKED); Website Visit (HUBSPOT_REVISIT)","true","true","true","false","false","true","HubSpot","","0%"
"Contact Time of Last Session","hs_contact_last_webpage_visit_timestamp","datetime","Timestamp for start of the most recent session for this lead's primary contact to your website.","lead_information","false","","true","true","true","false","false","true","HubSpot","","0%"
"Contact Next Activity Date","hs_contact_next_activity_date","datetime","The date of the next activity, rolled up from the primary associated contact.","lead_information","false","","true","true","false","false","false","true","HubSpot","","0%"
"Contact Next Activity Type","hs_contact_next_activity_type","enumeration","The type of the next activity, rolled up from the primary associated contact.","lead_information","false","Call (CALL); Conversation session (CONVERSATION_SESSION); Email reply from contact (INCOMING_EMAIL); Email sent to contact (EMAIL); Forwarded email (FORWARDED_EMAIL); LinkedIn message (LINKEDIN_MESSAGE); Meeting (MEETING); Note (NOTE); Postal mail (POSTAL_MAIL); Publishing task (PUBLISHING_TASK); SMS; Task (TASK); WhatsApp (WHATS_APP)","true","true","true","false","false","true","HubSpot","","0%"
"Contact Number of Pageviews","hs_contact_num_webpage_views","number","Total number of page views this lead's primary contact has had on your website","lead_information","false","","true","true","true","false","false","true","HubSpot","","0%"
"Associated contact timezone","hs_contact_timezone","string","The associated contact's timezone, if present.","lead_information","false","","true","true","false","false","false","true","HubSpot","","0%"
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","lead_information","false","","true","true","false","true","false","true","HubSpot","","0%"
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","lead_information","false","","true","true","false","false","false","true","HubSpot","","100%"
"Last Activity Date","hs_last_activity_date","datetime","The date of the last activity. Defaults to the date of the primary associated contact. If not present, looks to the date of the primary associated company.","lead_information","false","","true","true","true","false","false","true","HubSpot","","0%"
"Last Engagement Date","hs_last_engagement_timestamp","datetime","If primary contact exists, the last time the contact engaged with your site or a form, document, meetings link, or tracked email. This doesn't include marketing emails or emails to multiple contacts. Otherwise it is the last time for the associated company","lead_information","false","","true","true","true","false","false","true","HubSpot","","0%"
"Last Engagement Type","hs_last_engagement_type","enumeration","If primary contact exists, the type of the last engagement the contact performed. This doesn't include marketing emails or emails to multiple contacts. Otherwise it is the type of the last engagement for the associated company","lead_information","false","","true","true","true","false","false","true","HubSpot","","0%"
"Lead Time of Last Session","hs_last_webpage_visit_timestamp","datetime","If the associated contact exists, the timestamp for the start of the most recent session for this contact to your website. Otherwise the timestamp for the start of the most recent session for the associated company to your website.","lead_information","false","","true","true","true","false","false","true","HubSpot","","0%"
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","lead_information","false","","true","true","false","false","false","true","HubSpot","","100%"
"Associated Deal Pipeline Stage","hs_lead_associated_deal_pipeline_stage","enumeration","The pipeline stage of the primary associated deal","lead_information","false","","true","true","false","true","false","true","HubSpot","","0%"
"Associated deals","hs_lead_associated_deals_count","number","Number of associated deals for a given lead.","lead_information","false","","true","false","false","false","false","true","HubSpot","","100%"
"Call Count","hs_lead_call_count","number","The number of calls made to this lead","lead_information","false","","true","true","true","false","false","true","HubSpot","","100%"
"Closed won deal amount","hs_lead_closed_won_deals_amount","number","The total amount of the lead's associated deals that are closed-won","lead_information","false","","true","true","false","false","false","true","HubSpot","","0%"
"Message Thread Count","hs_lead_communication_count","number","The number of message threads (SMS, LinkedIn, WhatsApp) opened with this lead","lead_information","false","","true","true","true","false","false","true","HubSpot","Automation platform flow (1)","100%"
"Lead Disqualification Note","hs_lead_disqualification_note","string","A note on why the lead was disqualified ","lead_information","false","","false","true","false","false","false","true","HubSpot","Dependent conditional field (1)","0%"
"Disqualification Reason","hs_lead_disqualification_reason","enumeration","Dropdown list of reasons for disqualification","lead_information","false","Bad Timing (BAD_TIMING); Budget Constraints (BUDGET_CONSTRAINTS); No Decision-making Power (NO_DECISION_MAKING_POWER); Competitor Preference (COMPETITOR_PREFERENCE); Not a Good Fit (NOT_A_GOOD_FIT); No Interest (NO_INTEREST); Prior Negative Experience (PRIOR_NEGATIVE_EXPERIENCE); Technical Limitations (TECHNICAL_LIMITATIONS)","false","false","false","false","false","true","HubSpot","Dependent conditional field (1)","0%"
"Email Count","hs_lead_email_count","number","The number of emails sent to this lead","lead_information","false","","true","true","true","false","false","true","HubSpot","Automation platform flow (1)","100%"
"First Outreach Date","hs_lead_first_outreach_date","datetime","The date of the first outreach (call, email, meeting or other communication) from the sales rep to the lead.","lead_information","false","","true","true","true","false","false","true","HubSpot","","0%"
"Lead flow id","hs_lead_flow_id","number","Flow id of the workflow that created this lead","lead_information","false","","true","true","false","true","false","true","HubSpot","","0%"
"Open leads","hs_lead_is_open","number","Whether the lead's pipeline stage has any category other than `QUALIFIED` or `UNQUALIFIED`","lead_information","false","","true","true","false","false","false","true","HubSpot","","100%"
"Is Open","hs_lead_is_open_v2","bool","Whether the lead's pipeline stage has category ""Not started"" or ""In progress""","lead_information","false","Yes (true); No (false)","true","true","true","false","false","true","HubSpot","","100%"
